epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,12558.5,0.46,0.32225,0.87422,0.86285,0.79702,0.85204,0.67015,0.91243,0.73537,1.06025,0.0008425,0.0008425,0.0008425
187,12626,0.4557,0.31651,0.8738,0.86576,0.79658,0.85264,0.67104,0.91113,0.73368,1.05993,0.000793,0.000793,0.000793
188,12693.6,0.45279,0.31647,0.87031,0.86682,0.79602,0.85249,0.67144,0.91026,0.73386,1.05949,0.0007435,0.0007435,0.0007435
189,12761,0.44971,0.31384,0.87035,0.86845,0.79536,0.85288,0.6728,0.91014,0.73494,1.0597,0.000694,0.000694,0.000694
190,12828.5,0.45224,0.31592,0.87097,0.8699,0.79459,0.85225,0.67273,0.91011,0.73543,1.05989,0.0006445,0.0006445,0.0006445
191,12897.6,0.4006,0.25044,0.81741,0.86189,0.79689,0.85307,0.67497,0.90754,0.73563,1.0606,0.000595,0.000595,0.000595
192,12965,0.36094,0.23005,0.8069,0.86481,0.79247,0.85496,0.67753,0.90541,0.73598,1.06087,0.0005455,0.0005455,0.0005455
193,13032.1,0.35604,0.22742,0.80392,0.8728,0.78843,0.85548,0.67931,0.90403,0.73694,1.06005,0.000496,0.000496,0.000496
194,13099.2,0.34692,0.22224,0.8056,0.87211,0.78717,0.85573,0.68065,0.90383,0.73801,1.06026,0.0004465,0.0004465,0.0004465
195,13166.4,0.34386,0.22122,0.80154,0.87191,0.78785,0.85594,0.68085,0.90444,0.73951,1.06032,0.000397,0.000397,0.000397
196,13233.6,0.33865,0.21798,0.80188,0.87503,0.78666,0.85632,0.68193,0.90373,0.73928,1.0601,0.0003475,0.0003475,0.0003475
197,13300.8,0.34096,0.22128,0.80398,0.8754,0.78617,0.8566,0.68265,0.90401,0.7393,1.05984,0.000298,0.000298,0.000298
198,13367.9,0.33041,0.21359,0.80094,0.87472,0.78531,0.85652,0.68213,0.90426,0.74174,1.06004,0.0002485,0.0002485,0.0002485
199,13434.9,0.3242,0.20946,0.79821,0.87557,0.78525,0.85658,0.6829,0.90402,0.7436,1.06024,0.000199,0.000199,0.000199
200,13501.9,0.32761,0.21337,0.79831,0.875,0.78581,0.85684,0.68321,0.90329,0.74306,1.05961,0.0001495,0.0001495,0.0001495
