epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2912.32,0.95097,0.81551,1.11138,0.72093,0.72634,0.74333,0.51601,1.18398,1.05263,1.20801,0.007921,0.007921,0.007921
44,2979.64,0.95311,0.81468,1.10655,0.74261,0.73787,0.76338,0.53582,1.144,1.00635,1.18824,0.0078715,0.0078715,0.0078715
45,3047.22,0.94024,0.79407,1.09627,0.72197,0.74015,0.76412,0.53972,1.13246,0.9998,1.18603,0.007822,0.007822,0.007822
46,3114.66,0.93778,0.78536,1.10025,0.7465,0.73396,0.76354,0.535,1.14844,0.98044,1.17779,0.0077725,0.0077725,0.0077725
47,3182.03,0.92999,0.77878,1.09045,0.77522,0.73825,0.78025,0.55147,1.11552,0.9623,1.16917,0.007723,0.007723,0.007723
48,3249.52,0.92447,0.7639,1.08898,0.74458,0.75059,0.77569,0.54667,1.13523,0.96398,1.17661,0.0076735,0.0076735,0.0076735
49,3316.84,0.9234,0.76761,1.08899,0.75187,0.7407,0.7732,0.55265,1.11441,0.949,1.17046,0.007624,0.007624,0.007624
50,3384.31,0.90523,0.75456,1.07869,0.7615,0.74126,0.78205,0.56107,1.09765,0.94303,1.16481,0.0075745,0.0075745,0.0075745
51,3451.83,0.91033,0.75104,1.0797,0.75369,0.75375,0.77927,0.55755,1.1029,0.94261,1.15936,0.007525,0.007525,0.007525
52,3519.29,0.9036,0.74281,1.07705,0.75993,0.74375,0.77768,0.55891,1.09479,0.94716,1.15564,0.0074755,0.0074755,0.0074755
53,3586.75,0.89531,0.73023,1.07235,0.75896,0.75638,0.78094,0.55999,1.10395,0.9538,1.15623,0.007426,0.007426,0.007426
54,3654.11,0.8968,0.72948,1.0705,0.77624,0.76361,0.79033,0.5668,1.08115,0.92523,1.1546,0.0073765,0.0073765,0.0073765
55,3721.69,0.88392,0.7161,1.06342,0.74822,0.76021,0.78417,0.56646,1.0976,0.9385,1.15761,0.007327,0.007327,0.007327
56,3789.14,0.88231,0.7151,1.05776,0.74602,0.7723,0.79286,0.57398,1.08445,0.91004,1.14717,0.0072775,0.0072775,0.0072775
57,3856.74,0.87593,0.70418,1.05859,0.75908,0.77127,0.79629,0.58415,1.06076,0.90342,1.13765,0.007228,0.007228,0.007228
58,3924.23,0.87117,0.7025,1.05444,0.75339,0.77128,0.79527,0.58305,1.06128,0.90237,1.14102,0.0071785,0.0071785,0.0071785
59,3991.56,0.86096,0.68841,1.04882,0.76106,0.76756,0.79293,0.58045,1.05505,0.8978,1.14052,0.007129,0.007129,0.007129
60,4058.9,0.86452,0.69305,1.054,0.75684,0.77489,0.79422,0.58566,1.04776,0.88591,1.13343,0.0070795,0.0070795,0.0070795
61,4126.36,0.85395,0.6774,1.04248,0.76963,0.76988,0.79672,0.58992,1.05227,0.88696,1.13289,0.00703,0.00703,0.00703
62,4193.85,0.8505,0.67151,1.0395,0.75357,0.76191,0.79481,0.58005,1.06488,0.89365,1.1337,0.0069805,0.0069805,0.0069805
63,4261.2,0.83657,0.65943,1.03442,0.75826,0.76829,0.79525,0.58365,1.05401,0.89666,1.13602,0.006931,0.006931,0.006931
64,4328.63,0.83897,0.65818,1.03603,0.77626,0.76898,0.80543,0.5975,1.03552,0.87467,1.12798,0.0068815,0.0068815,0.0068815
65,4396.09,0.8304,0.6497,1.025,0.7871,0.76218,0.80098,0.59324,1.03952,0.87615,1.12703,0.006832,0.006832,0.006832
66,4463.48,0.83305,0.65111,1.0261,0.77134,0.77219,0.80117,0.58836,1.04218,0.8834,1.12352,0.0067825,0.0067825,0.0067825
67,4530.8,0.82546,0.63798,1.02654,0.76618,0.76785,0.80111,0.59086,1.03229,0.87807,1.118,0.006733,0.006733,0.006733
68,4598.13,0.81451,0.63141,1.01705,0.76974,0.77086,0.80438,0.59788,1.0252,0.8658,1.11931,0.0066835,0.0066835,0.0066835
69,4665.59,0.82649,0.64335,1.02489,0.78425,0.76153,0.80172,0.5901,1.03719,0.86958,1.12373,0.006634,0.006634,0.006634
70,4733.11,0.81136,0.62355,1.01735,0.77775,0.7674,0.80025,0.58812,1.03917,0.87079,1.12266,0.0065845,0.0065845,0.0065845
71,4800.47,0.80966,0.62317,1.01929,0.77631,0.76641,0.80274,0.59231,1.03677,0.86904,1.11901,0.006535,0.006535,0.006535
72,4867.79,0.80827,0.62419,1.01497,0.78221,0.77452,0.80496,0.5954,1.03441,0.86213,1.11911,0.0064855,0.0064855,0.0064855
73,4935.12,0.80626,0.61477,1.01211,0.78389,0.77101,0.80345,0.59655,1.03337,0.86283,1.11616,0.006436,0.006436,0.006436
74,5002.51,0.78521,0.6062,1.00619,0.77685,0.77887,0.80809,0.60006,1.02823,0.85756,1.11527,0.0063865,0.0063865,0.0063865
75,5070.01,0.7954,0.60405,1.00586,0.77939,0.77934,0.80899,0.60074,1.02534,0.85782,1.11333,0.006337,0.006337,0.006337
76,5137.6,0.78354,0.59528,1.00482,0.78687,0.77825,0.81448,0.61058,1.01563,0.84809,1.10773,0.0062875,0.0062875,0.0062875
77,5205.2,0.7805,0.59474,1.00088,0.79255,0.77792,0.81856,0.61356,1.00425,0.83986,1.10304,0.006238,0.006238,0.006238
78,5272.69,0.77706,0.5865,0.99902,0.79542,0.77938,0.82031,0.61548,1.00121,0.83724,1.10064,0.0061885,0.0061885,0.0061885
79,5340.18,0.77768,0.58774,0.99713,0.79713,0.77916,0.81923,0.61331,1.00841,0.8376,1.10397,0.006139,0.006139,0.006139
80,5407.49,0.7771,0.58821,0.99946,0.79857,0.78007,0.81852,0.61326,1.00989,0.83482,1.10429,0.0060895,0.0060895,0.0060895
81,5474.93,0.76669,0.57316,0.99508,0.79811,0.77829,0.8188,0.6138,1.00797,0.83175,1.10481,0.00604,0.00604,0.00604
82,5542.33,0.7616,0.57018,0.99137,0.79344,0.7822,0.81886,0.6133,1.00584,0.82911,1.1042,0.0059905,0.0059905,0.0059905
83,5609.82,0.75858,0.5653,0.9905,0.79831,0.77951,0.81959,0.61594,1.00378,0.82587,1.10225,0.005941,0.005941,0.005941
84,5677.36,0.75294,0.56308,0.98719,0.79611,0.78,0.81884,0.61644,1.00106,0.82471,1.10124,0.0058915,0.0058915,0.0058915
85,5744.9,0.7541,0.55698,0.98664,0.79802,0.7786,0.8191,0.61717,0.99532,0.82229,1.09833,0.005842,0.005842,0.005842
86,5812.35,0.75215,0.55848,0.98519,0.7995,0.77758,0.82005,0.62001,0.98944,0.81937,1.09487,0.0057925,0.0057925,0.0057925
87,5879.85,0.74423,0.5504,0.98123,0.79796,0.78195,0.82176,0.62082,0.98675,0.81594,1.09286,0.005743,0.005743,0.005743
88,5947.45,0.73769,0.54658,0.98101,0.79914,0.78452,0.82333,0.6226,0.98395,0.81304,1.09209,0.0056935,0.0056935,0.0056935
89,6015.07,0.73931,0.54551,0.97913,0.80063,0.78436,0.82296,0.62239,0.98418,0.81238,1.09223,0.005644,0.005644,0.005644
90,6082.63,0.73424,0.54015,0.97355,0.80172,0.7846,0.82155,0.62316,0.9865,0.80967,1.09157,0.0055945,0.0055945,0.0055945
91,6150.24,0.73273,0.53686,0.97639,0.80097,0.78477,0.823,0.62185,0.98874,0.80729,1.09259,0.005545,0.005545,0.005545
92,6217.67,0.72705,0.53108,0.9696,0.80384,0.78333,0.82498,0.62426,0.98711,0.8044,1.09158,0.0054955,0.0054955,0.0054955
93,6285.35,0.7238,0.53249,0.96886,0.80631,0.78521,0.82723,0.62407,0.98621,0.80394,1.09073,0.005446,0.005446,0.005446
94,6352.9,0.72433,0.52794,0.96799,0.81055,0.78335,0.82764,0.62464,0.98638,0.80145,1.09095,0.0053965,0.0053965,0.0053965
95,6420.42,0.71089,0.51987,0.96594,0.81033,0.78309,0.8272,0.62463,0.98687,0.80353,1.09146,0.005347,0.005347,0.005347
96,6487.84,0.71276,0.52154,0.96655,0.80701,0.78694,0.82746,0.62522,0.98584,0.80104,1.09121,0.0052975,0.0052975,0.0052975
97,6555.52,0.70959,0.51694,0.96551,0.80944,0.7885,0.8288,0.62755,0.98319,0.79846,1.09028,0.005248,0.005248,0.005248
98,6623.03,0.71055,0.51874,0.96916,0.80527,0.79033,0.8297,0.62854,0.97991,0.79453,1.08871,0.0051985,0.0051985,0.0051985
99,6690.52,0.70998,0.51632,0.96234,0.8039,0.79115,0.82956,0.62902,0.97949,0.79381,1.08817,0.005149,0.005149,0.005149
100,6758.14,0.70119,0.51577,0.96268,0.80946,0.78883,0.83014,0.62986,0.97767,0.7919,1.08751,0.0050995,0.0050995,0.0050995
101,6825.63,0.69762,0.50252,0.95821,0.8103,0.78873,0.83123,0.63115,0.97559,0.79015,1.08709,0.00505,0.00505,0.00505
102,6893.21,0.6932,0.49805,0.95612,0.80756,0.7889,0.83096,0.6305,0.9769,0.78947,1.08689,0.0050005,0.0050005,0.0050005
103,6960.44,0.69107,0.50082,0.95508,0.80875,0.79039,0.83063,0.63122,0.97706,0.78772,1.08661,0.004951,0.004951,0.004951
104,7028.01,0.68457,0.49289,0.94757,0.81237,0.7908,0.83151,0.63241,0.97498,0.78643,1.08541,0.0049015,0.0049015,0.0049015
105,7095.59,0.68052,0.49211,0.95019,0.81626,0.78989,0.83273,0.63386,0.97278,0.78616,1.08413,0.004852,0.004852,0.004852
106,7163.15,0.68212,0.49143,0.95043,0.81564,0.78875,0.83246,0.63388,0.97156,0.785,1.08362,0.0048025,0.0048025,0.0048025
107,7230.63,0.6801,0.4856,0.94714,0.81527,0.78865,0.83216,0.63352,0.97029,0.78383,1.08277,0.004753,0.004753,0.004753
108,7298.03,0.68066,0.49274,0.94928,0.8173,0.79173,0.83276,0.63511,0.96815,0.78133,1.08185,0.0047035,0.0047035,0.0047035
109,7365.51,0.66877,0.4764,0.94609,0.8125,0.79183,0.83259,0.63414,0.96778,0.7805,1.08148,0.004654,0.004654,0.004654
110,7432.85,0.66618,0.47605,0.94319,0.81744,0.79036,0.83263,0.63457,0.96759,0.77968,1.08111,0.0046045,0.0046045,0.0046045
111,7500.19,0.66667,0.47943,0.94432,0.81136,0.79265,0.83309,0.63387,0.969,0.77857,1.08117,0.004555,0.004555,0.004555
112,7567.53,0.66071,0.47451,0.94337,0.80456,0.79521,0.83347,0.63356,0.96957,0.77848,1.08115,0.0045055,0.0045055,0.0045055
113,7635.01,0.66044,0.47234,0.94432,0.81044,0.79539,0.83396,0.63415,0.96854,0.77738,1.08096,0.004456,0.004456,0.004456
114,7702.4,0.65402,0.46781,0.93599,0.81495,0.79357,0.8345,0.63503,0.9667,0.77622,1.08036,0.0044065,0.0044065,0.0044065
115,7769.87,0.65327,0.46911,0.94122,0.81614,0.79446,0.83483,0.63656,0.96613,0.77464,1.08051,0.004357,0.004357,0.004357
116,7837.35,0.65155,0.46869,0.94045,0.81809,0.79567,0.8353,0.63744,0.96459,0.77337,1.08028,0.0043075,0.0043075,0.0043075
117,7904.81,0.65009,0.46109,0.93614,0.81847,0.79702,0.83565,0.63855,0.9619,0.77182,1.07921,0.004258,0.004258,0.004258
118,7972.34,0.64454,0.45886,0.93563,0.8174,0.79681,0.83576,0.63915,0.96149,0.7713,1.079,0.0042085,0.0042085,0.0042085
119,8039.73,0.64235,0.4564,0.93715,0.819,0.79768,0.83674,0.63969,0.95991,0.77,1.07859,0.004159,0.004159,0.004159
120,8107.23,0.6402,0.4533,0.93334,0.81998,0.79663,0.8367,0.64024,0.95855,0.76762,1.07849,0.0041095,0.0041095,0.0041095
121,8174.65,0.63909,0.45197,0.93389,0.82085,0.79355,0.83718,0.64106,0.9578,0.76577,1.07844,0.00406,0.00406,0.00406
122,8242.11,0.63501,0.45021,0.93188,0.8222,0.79441,0.83755,0.64099,0.95814,0.76421,1.07848,0.0040105,0.0040105,0.0040105
123,8309.54,0.63374,0.44955,0.93373,0.81995,0.79713,0.83789,0.64153,0.95559,0.76176,1.07737,0.003961,0.003961,0.003961
124,8377.04,0.62371,0.44111,0.92528,0.82012,0.79646,0.83734,0.64217,0.95494,0.76211,1.07762,0.0039115,0.0039115,0.0039115
125,8444.56,0.62719,0.44353,0.92765,0.81818,0.79715,0.83731,0.6425,0.95384,0.75999,1.0773,0.003862,0.003862,0.003862
126,8511.99,0.62755,0.44316,0.9278,0.82018,0.79821,0.83871,0.64282,0.95314,0.75907,1.07651,0.0038125,0.0038125,0.0038125
127,8579.37,0.61732,0.43732,0.92761,0.81723,0.79918,0.8383,0.64257,0.95297,0.7595,1.07623,0.003763,0.003763,0.003763
128,8646.73,0.61249,0.43344,0.92377,0.81739,0.79811,0.83829,0.64342,0.95217,0.75808,1.07572,0.0037135,0.0037135,0.0037135
129,8714.15,0.618,0.4349,0.92509,0.8197,0.79779,0.83904,0.64526,0.94972,0.75801,1.075,0.003664,0.003664,0.003664
130,8781.7,0.60883,0.42518,0.92126,0.81982,0.79803,0.83878,0.6452,0.94996,0.75828,1.07527,0.0036145,0.0036145,0.0036145
131,8848.99,0.60598,0.42714,0.92236,0.82052,0.79785,0.83873,0.64486,0.95022,0.75762,1.07544,0.003565,0.003565,0.003565
132,8916.38,0.61092,0.43132,0.92045,0.82432,0.79712,0.84011,0.64649,0.9487,0.75727,1.07492,0.0035155,0.0035155,0.0035155
133,8983.84,0.60127,0.42138,0.91887,0.82434,0.79714,0.84003,0.64652,0.94852,0.75739,1.07494,0.003466,0.003466,0.003466
134,9051.3,0.60097,0.42129,0.919,0.82229,0.79614,0.84078,0.64649,0.94815,0.75691,1.0744,0.0034165,0.0034165,0.0034165
135,9118.67,0.59557,0.41889,0.91735,0.82303,0.79711,0.84104,0.64733,0.9478,0.75637,1.074,0.003367,0.003367,0.003367
136,9186.18,0.59209,0.4156,0.91579,0.82305,0.79603,0.84111,0.64701,0.94757,0.75493,1.07384,0.0033175,0.0033175,0.0033175
137,9253.51,0.59399,0.41464,0.91324,0.82489,0.79545,0.84103,0.64824,0.94603,0.75323,1.07288,0.003268,0.003268,0.003268
138,9321.05,0.58805,0.41139,0.91504,0.82283,0.79828,0.84147,0.64893,0.94577,0.75233,1.07243,0.0032185,0.0032185,0.0032185
139,9388.56,0.59053,0.4132,0.91407,0.82499,0.79795,0.8422,0.64941,0.94412,0.75131,1.07168,0.003169,0.003169,0.003169
140,9456.05,0.58373,0.40997,0.91142,0.83101,0.79477,0.84228,0.65014,0.94218,0.74944,1.07046,0.0031195,0.0031195,0.0031195
141,9523.43,0.58177,0.40841,0.91103,0.82473,0.80079,0.84364,0.65064,0.9418,0.74832,1.07054,0.00307,0.00307,0.00307
142,9591.1,0.57758,0.40386,0.90994,0.81759,0.80479,0.84364,0.65208,0.93956,0.74777,1.06978,0.0030205,0.0030205,0.0030205
143,9658.58,0.57775,0.40222,0.91012,0.82009,0.80398,0.84332,0.65211,0.9398,0.74576,1.06959,0.002971,0.002971,0.002971
144,9725.9,0.57568,0.39786,0.90936,0.82187,0.80446,0.84409,0.65226,0.94087,0.74578,1.06978,0.0029215,0.0029215,0.0029215
145,9793.48,0.56918,0.3951,0.90849,0.83219,0.79816,0.84477,0.65277,0.93987,0.74472,1.06927,0.002872,0.002872,0.002872
146,9860.93,0.56544,0.39444,0.90534,0.83764,0.79436,0.84505,0.65379,0.93797,0.74457,1.06816,0.0028225,0.0028225,0.0028225
147,9928.32,0.56918,0.39871,0.90818,0.83385,0.79653,0.84488,0.65428,0.93784,0.74498,1.06762,0.002773,0.002773,0.002773
148,9995.78,0.56202,0.39366,0.90529,0.83516,0.79724,0.84509,0.65485,0.93727,0.74414,1.06745,0.0027235,0.0027235,0.0027235
149,10063.2,0.56017,0.39671,0.90639,0.83449,0.7985,0.84453,0.65486,0.9374,0.7443,1.06754,0.002674,0.002674,0.002674
150,10130.6,0.55709,0.38801,0.90454,0.83251,0.7989,0.84412,0.65481,0.93794,0.74369,1.06768,0.0026245,0.0026245,0.0026245
151,10198.1,0.55535,0.38565,0.9031,0.83468,0.80114,0.84425,0.65545,0.9373,0.74317,1.06698,0.002575,0.002575,0.002575
152,10265.6,0.55049,0.38341,0.90131,0.83292,0.80194,0.8444,0.65553,0.93516,0.74246,1.06624,0.0025255,0.0025255,0.0025255
